tif_name_comptroller_report,tif_num_ctu,designation_date,expiration_date,unallocated_funds_2025,surplus_2025,full_surplus_avg_method_25,full_surplus_poly_method_25,full_surplus_weighted_method_25
Madden/Wells,T-126,11/6/2002,12/31/2038,4029859.0,4029859.0,-4161752.4728852473,-3890185.626249267,-4105223.1788691506
Madison/Austin Corridor,T-075,9/29/1999,12/31/2035,10421041.0,10421041.0,11207442.056555565,11950209.97076819,11362056.459338434
Michigan/Cermak,T-029,9/13/1989,12/31/2025,2844275.0,2844275.0,13765687.702854145,14384899.97027342,13894582.789853621
Midwest,T-095,5/17/2000,12/31/2036,17153785.0,17153785.0,31824930.434912562,34826286.29821721,32449691.999681592
Montrose/Clarendon,T-173,6/30/2010,12/31/2034,4897244.0,4897244.0,-3670605.62388736,-3461325.8740796484,-3627041.9980064975
Near North,T-030,7/30/1997,12/31/2033,39272087.0,39272087.0,242852634.0196159,248415108.38692167,244010517.43897128
North Pullman,T-166,6/30/2009,12/31/2033,4320491.0,4320491.0,-11497090.182654336,-11114111.13641192,-11417369.35010344
Northwest Industrial Corridor,T-064,12/2/1998,12/31/2034,8092613.0,8092613.0,91255825.39371872,93780071.58638614,91781271.9162303
Ogden/Pulaski,T-161,4/9/2008,12/31/2032,13084212.0,13084212.0,-3010514.7575584,-2918139.3819892453,-2991285.9200545503
Pilsen Industrial Corridor,T-053,6/10/1998,12/31/2034,3581165.0,3581165.0,176315649.82121342,181151224.9921297,177322222.06653643
Pratt/Ridge Industrial Park Conservation Area,T-135,6/23/2004,12/31/2028,2286244.0,1714683.0,-32146033.30707968,-32035866.542212125,-32123101.017961383
Pulaski Industrial Corridor,T-069,6/9/1999,12/31/2035,15988495.0,15988495.0,48029190.38450995,49565211.8139676,48348928.26148736
Randolph/Wells,T-172,6/9/2010,12/31/2034,18493253.0,18493253.0,44065288.921571836,46107035.93497491,44490298.52291638
Red Line Extension,T-186,12/14/2022,12/31/2058,49845.0,0.0,19471178.670047037,21045134.620906085,19798812.988509197
Red Purple Modernization Phase One (Transit TIF),T-180,11/30/2016,12/31/2052,29744098.0,29744098.0,235264856.4365554,261938370.59247765,240817209.17342615
River West,T-104,1/10/2001,12/31/2025,7455846.0,7455846.0,117015353.07745332,122896377.39095055,118239545.78231293
Roosevelt/Cicero Industrial Corridor,T-038,2/5/1998,12/31/2034,6625916.0,6625916.0,28799249.49435187,29865457.265858352,29021191.065439627
Roosevelt/Clark,T-184,4/10/2019,12/31/2043,53275802.0,53275802.0,-372818153.99007666,-372261959.33127624,-372702376.63438326
Roosevelt/Racine,T-062,11/4/1998,12/31/2034,16413656.0,16413656.0,4707537.659590144,5302261.12220072,4831335.162461504
Roseland/Michigan,T-113,1/16/2002,12/31/2026,120797.0,0.0,-191279.466788864,-134512.34692071518,-179462.83582221624
Sanitary and Ship Canal,T-042,7/24/1991,12/31/2027,1941454.0,1456090.5,5837569.72011392,6098335.488391606,5891850.664076354
